season,date,home_team,home_total,away_team,away_total,mp,home_fg,home_fga,home_fg%,home_3p,home_3pa,home_3p%,home_ft,home_fta,home_ft%,home_orb,home_drb,home_trb,home_ast,home_stl,home_blk,home_tov,home_pf,home_pts,home_+/-,home_ts%,home_efg%,home_3par,home_ftr,home_orb%,home_drb%,home_trb%,home_ast%,home_stl%,home_blk%,home_tov%,home_usg%,home_ortg,home_drtg,away_fg,away_fga,away_fg%,away_3p,away_3pa,away_3p%,away_ft,away_fta,away_ft%,away_orb,away_drb,away_trb,away_ast,away_stl,away_blk,away_tov,away_pf,away_pts,away_+/-,away_ts%,away_efg%,away_3par,away_ftr,away_orb%,away_drb%,away_trb%,away_ast%,away_stl%,away_blk%,away_tov%,away_usg%,away_ortg,away_drtg,home_won
2020,2019-10-22,TOR,130,NOP,122,265.0,42.0,103.0,0.408,14.0,40.0,0.35,32.0,38.0,0.842,16.0,41.0,57.0,23.0,7.0,3.0,17.0,24.0,130.0,,0.543,0.476,0.388,0.369,30.2,71.9,51.8,54.8,6.2,5.3,12.4,100.0,114.7,107.6,43.0,102.0,0.422,19.0,45.0,0.422,17.0,20.0,0.85,16.0,37.0,53.0,30.0,4.0,9.0,19.0,34.0,122.0,,0.551,0.515,0.441,0.196,28.1,69.8,48.2,69.8,3.5,14.3,14.6,100.0,108.1,115.2,True
2020,2019-10-22,NOP,122,TOR,130,265.0,43.0,102.0,0.422,19.0,45.0,0.422,17.0,20.0,0.85,16.0,37.0,53.0,30.0,4.0,9.0,19.0,34.0,122.0,,0.551,0.515,0.441,0.196,28.1,69.8,48.2,69.8,3.5,14.3,14.6,100.0,108.1,115.2,42.0,103.0,0.408,14.0,40.0,0.35,32.0,38.0,0.842,16.0,41.0,57.0,23.0,7.0,3.0,17.0,24.0,130.0,,0.543,0.476,0.388,0.369,30.2,71.9,51.8,54.8,6.2,5.3,12.4,100.0,114.7,107.6,False
2020,2019-10-22,LAC,112,LAL,102,240.0,42.0,81.0,0.519,11.0,31.0,0.355,17.0,24.0,0.708,11.0,34.0,45.0,24.0,8.0,5.0,14.0,25.0,112.0,,0.612,0.586,0.383,0.296,25.6,79.1,52.3,57.1,8.4,9.6,13.3,100.0,117.5,107.0,37.0,85.0,0.435,13.0,33.0,0.394,15.0,21.0,0.714,9.0,32.0,41.0,20.0,4.0,7.0,15.0,24.0,102.0,,0.541,0.512,0.388,0.247,20.9,74.4,47.7,54.1,4.2,14.0,13.7,100.0,106.5,116.9,True
2020,2019-10-22,LAL,102,LAC,112,240.0,37.0,85.0,0.435,13.0,33.0,0.394,15.0,21.0,0.714,9.0,32.0,41.0,20.0,4.0,7.0,15.0,24.0,102.0,,0.541,0.512,0.388,0.247,20.9,74.4,47.7,54.1,4.2,14.0,13.7,100.0,106.5,116.9,42.0,81.0,0.519,11.0,31.0,0.355,17.0,24.0,0.708,11.0,34.0,45.0,24.0,8.0,5.0,14.0,25.0,112.0,,0.612,0.586,0.383,0.296,25.6,79.1,52.3,57.1,8.4,9.6,13.3,100.0,117.5,107.0,False
2020,2019-10-23,DET,119,IND,110,240.0,41.0,78.0,0.526,11.0,24.0,0.458,26.0,33.0,0.788,10.0,35.0,45.0,26.0,5.0,6.0,18.0,21.0,119.0,,0.643,0.596,0.308,0.423,27.8,77.8,55.6,63.4,5.0,8.8,16.3,100.0,118.8,109.8,41.0,89.0,0.461,8.0,21.0,0.381,20.0,24.0,0.833,10.0,26.0,36.0,26.0,8.0,6.0,15.0,28.0,110.0,,0.552,0.506,0.236,0.27,22.2,72.2,44.4,63.4,8.0,11.1,13.1,100.0,109.8,118.8,True
2020,2019-10-23,IND,110,DET,119,240.0,41.0,89.0,0.461,8.0,21.0,0.381,20.0,24.0,0.833,10.0,26.0,36.0,26.0,8.0,6.0,15.0,28.0,110.0,,0.552,0.506,0.236,0.27,22.2,72.2,44.4,63.4,8.0,11.1,13.1,100.0,109.8,118.8,41.0,78.0,0.526,11.0,24.0,0.458,26.0,33.0,0.788,10.0,35.0,45.0,26.0,5.0,6.0,18.0,21.0,119.0,,0.643,0.596,0.308,0.423,27.8,77.8,55.6,63.4,5.0,8.8,16.3,100.0,118.8,109.8,False
2020,2019-10-23,DAL,108,WAS,100,240.0,35.0,76.0,0.461,11.0,36.0,0.306,27.0,33.0,0.818,5.0,41.0,46.0,17.0,6.0,5.0,20.0,22.0,108.0,,0.597,0.533,0.474,0.434,12.2,78.8,49.5,48.6,5.8,9.6,18.1,100.0,103.7,96.0,37.0,93.0,0.398,11.0,41.0,0.268,15.0,18.0,0.833,11.0,36.0,47.0,26.0,6.0,3.0,17.0,32.0,100.0,,0.495,0.457,0.441,0.194,21.2,87.8,50.5,70.3,5.8,7.5,14.4,100.0,96.4,104.2,True
2020,2019-10-23,WAS,100,DAL,108,240.0,37.0,93.0,0.398,11.0,41.0,0.268,15.0,18.0,0.833,11.0,36.0,47.0,26.0,6.0,3.0,17.0,32.0,100.0,,0.495,0.457,0.441,0.194,21.2,87.8,50.5,70.3,5.8,7.5,14.4,100.0,96.4,104.2,35.0,76.0,0.461,11.0,36.0,0.306,27.0,33.0,0.818,5.0,41.0,46.0,17.0,6.0,5.0,20.0,22.0,108.0,,0.597,0.533,0.474,0.434,12.2,78.8,49.5,48.6,5.8,9.6,18.1,100.0,103.7,96.0,False
2020,2019-10-23,CHI,125,CHO,126,240.0,49.0,105.0,0.467,9.0,30.0,0.3,18.0,22.0,0.818,20.0,29.0,49.0,25.0,11.0,4.0,12.0,20.0,125.0,,0.545,0.51,0.286,0.21,38.5,76.3,54.4,51.0,10.7,9.1,9.5,100.0,121.8,122.8,45.0,88.0,0.511,23.0,44.0,0.523,13.0,16.0,0.813,9.0,32.0,41.0,28.0,3.0,4.0,19.0,18.0,126.0,,0.663,0.642,0.5,0.182,23.7,61.5,45.6,62.2,3.0,5.3,16.7,100.0,124.0,123.0,False
2020,2019-10-23,CHO,126,CHI,125,240.0,45.0,88.0,0.511,23.0,44.0,0.523,13.0,16.0,0.813,9.0,32.0,41.0,28.0,3.0,4.0,19.0,18.0,126.0,,0.663,0.642,0.5,0.182,23.7,61.5,45.6,62.2,3.0,5.3,16.7,100.0,124.0,123.0,49.0,105.0,0.467,9.0,30.0,0.3,18.0,22.0,0.818,20.0,29.0,49.0,25.0,11.0,4.0,12.0,20.0,125.0,,0.545,0.51,0.286,0.21,38.5,76.3,54.4,51.0,10.7,9.1,9.5,100.0,121.8,122.8,True
