season,date,home_team,home_total,away_team,away_total,mp,home_fg,home_fga,home_fg%,home_3p,home_3pa,home_3p%,home_ft,home_fta,home_ft%,home_orb,home_drb,home_trb,home_ast,home_stl,home_blk,home_tov,home_pf,home_pts,home_+/-,home_ts%,home_efg%,home_3par,home_ftr,home_orb%,home_drb%,home_trb%,home_ast%,home_stl%,home_blk%,home_tov%,home_usg%,home_ortg,home_drtg,away_fg,away_fga,away_fg%,away_3p,away_3pa,away_3p%,away_ft,away_fta,away_ft%,away_orb,away_drb,away_trb,away_ast,away_stl,away_blk,away_tov,away_pf,away_pts,away_+/-,away_ts%,away_efg%,away_3par,away_ftr,away_orb%,away_drb%,away_trb%,away_ast%,away_stl%,away_blk%,away_tov%,away_usg%,away_ortg,away_drtg,home_won
2023,2022-10-18,BOS,126,PHI,117,240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,11,24,126,,0.668,0.634,0.427,0.341,18.2,88.2,53.7,52.2,8.1,6.5,10.4,100,127.7,118.6,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,,0.634,0.581,0.425,0.35,11.8,81.8,46.3,40.0,8.1,6.4,13.2,100,119.2,128.3,True
2023,2022-10-18,LAL,109,GSW,123,240,40,94,0.426,10,40,0.25,19,25,0.76,9,39,48,23,12,4,22,18,109,,0.519,0.479,0.426,0.266,19.6,78.0,50.0,57.5,10.5,7.4,17.3,100,95.5,107.8,45,99,0.455,16,45,0.356,17,23,0.739,11,37,48,31,11,4,18,23,123,,0.564,0.535,0.455,0.232,22.0,80.4,50.0,68.9,9.7,7.4,14.2,100,108.3,96.0,False
2023,2022-10-18,GSW,123,LAL,109,240,45,99,0.455,16,45,0.356,17,23,0.739,11,37,48,31,11,4,18,23,123,,0.564,0.535,0.455,0.232,22.0,80.4,50.0,68.9,9.7,7.4,14.2,100,108.3,96.0,40,94,0.426,10,40,0.25,19,25,0.76,9,39,48,23,12,4,22,18,109,,0.519,0.479,0.426,0.266,19.6,78.0,50.0,57.5,10.5,7.4,17.3,100,95.5,107.8,True
2023,2022-10-18,PHI,117,BOS,126,240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,,0.634,0.581,0.425,0.35,11.8,81.8,46.3,40.0,8.1,6.4,13.2,100,119.2,128.3,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,11,24,126,,0.668,0.634,0.427,0.341,18.2,88.2,53.7,52.2,8.1,6.5,10.4,100,127.7,118.6,False
2023,2022-10-19,MIA,108,CHI,116,240,37,80,0.463,12,28,0.429,22,28,0.786,8,38,46,21,6,2,19,24,108,,0.585,0.538,0.35,0.35,19.0,76.0,50.0,56.8,5.8,3.5,17.1,100,104.7,112.5,41,93,0.441,13,36,0.361,21,28,0.75,12,34,46,23,12,6,15,26,116,,0.551,0.511,0.387,0.301,24.0,81.0,50.0,56.1,11.6,11.5,12.5,100,111.9,104.2,False
2023,2022-10-19,CHI,116,MIA,108,240,41,93,0.441,13,36,0.361,21,28,0.75,12,34,46,23,12,6,15,26,116,,0.551,0.511,0.387,0.301,24.0,81.0,50.0,56.1,11.6,11.5,12.5,100,111.9,104.2,37,80,0.463,12,28,0.429,22,28,0.786,8,38,46,21,6,2,19,24,108,,0.585,0.538,0.35,0.35,19.0,76.0,50.0,56.8,5.8,3.5,17.1,100,104.7,112.5,True
2023,2022-10-19,POR,115,SAC,108,240,39,88,0.443,11,28,0.393,26,33,0.788,11,33,44,20,11,2,11,17,115,,0.561,0.506,0.318,0.375,22.9,89.2,51.8,51.3,10.9,4.9,9.7,100,113.6,106.7,39,85,0.459,17,44,0.386,13,19,0.684,4,37,41,27,8,5,16,25,108,,0.578,0.559,0.518,0.224,10.8,77.1,48.2,69.2,7.9,8.3,14.6,100,106.2,113.0,True
2023,2022-10-19,PHO,107,DAL,105,240,40,85,0.471,8,22,0.364,19,22,0.864,8,32,40,25,4,5,12,29,107,,0.565,0.518,0.259,0.259,18.6,86.5,50.0,62.5,4.2,12.5,11.2,100,111.7,109.6,35,75,0.467,14,35,0.4,21,34,0.618,5,35,40,17,6,4,12,22,105,,0.584,0.56,0.467,0.453,13.5,81.4,50.0,48.6,6.3,6.3,11.8,100,109.6,111.7,True
2023,2022-10-19,BRK,108,NOP,130,240,40,89,0.449,10,33,0.303,18,24,0.75,9,30,39,22,10,10,16,25,108,,0.542,0.506,0.371,0.27,18.4,58.8,39.0,55.0,9.7,13.2,13.8,100,104.8,126.2,50,102,0.49,12,26,0.462,18,25,0.72,21,40,61,31,9,4,13,21,130,,0.575,0.549,0.255,0.245,41.2,81.6,61.0,62.0,8.7,7.1,10.3,100,125.6,104.3,False
2023,2022-10-19,NOP,130,BRK,108,240,50,102,0.49,12,26,0.462,18,25,0.72,21,40,61,31,9,4,13,21,130,,0.575,0.549,0.255,0.245,41.2,81.6,61.0,62.0,8.7,7.1,10.3,100,125.6,104.3,40,89,0.449,10,33,0.303,18,24,0.75,9,30,39,22,10,10,16,25,108,,0.542,0.506,0.371,0.27,18.4,58.8,39.0,55.0,9.7,13.2,13.8,100,104.8,126.2,True
2023,2022-10-19,DEN,102,UTA,123,240,40,83,0.482,5,22,0.227,17,18,0.944,10,25,35,21,10,3,21,23,102,,0.561,0.512,0.265,0.217,23.8,69.4,44.9,52.5,9.9,6.7,18.8,100,101.4,122.2,42,83,0.506,16,38,0.421,23,31,0.742,11,32,43,27,10,1,20,21,123,,0.636,0.602,0.458,0.373,30.6,76.2,55.1,64.3,9.9,1.6,17.1,100,121.6,100.9,False
2023,2022-10-19,ATL,117,HOU,107,240,45,90,0.5,7,25,0.28,20,24,0.833,4,34,38,30,12,5,9,18,117,,0.582,0.539,0.278,0.267,9.3,69.4,41.3,66.7,11.7,7.9,8.2,100,114.3,104.5,42,98,0.429,9,35,0.257,14,15,0.933,15,39,54,25,4,3,16,20,107,,0.511,0.474,0.357,0.153,30.6,90.7,58.7,59.5,3.9,4.6,13.3,100,104.0,113.7,True
2023,2022-10-19,DAL,105,PHO,107,240,35,75,0.467,14,35,0.4,21,34,0.618,5,35,40,17,6,4,12,22,105,,0.584,0.56,0.467,0.453,13.5,81.4,50.0,48.6,6.3,6.3,11.8,100,109.6,111.7,40,85,0.471,8,22,0.364,19,22,0.864,8,32,40,25,4,5,12,29,107,,0.565,0.518,0.259,0.259,18.6,86.5,50.0,62.5,4.2,12.5,11.2,100,111.7,109.6,False
